                                drug                                 | prescription_count 
 Adenosine Liver Flush                                               |                  7
 AcetaZOLamide                                                       |                  7
 300 mcg Vial                                                        |                  7
 Ziprasidone                                                         |                  6
 Valproate Sodium                                                    |                  6
 Symbicort                                                           |                  6
 Sulfameth/Trimethoprim Suspension                                   |                  6
 Sodium Glycerophosphate                                             |                  6
 RITUXimab                                                           |                  6
 Riboflavin (Vitamin B-2)                                            |                  6
 Racepinephrine                                                      |                  6
 Propoxyphene Nap.-Apap (N-100)                                      |                  6
 Propafenone HCl                                                     |                  6
 PACLItaxel (TaxOL)                                                  |                  6
 NS Epidural Bag                                                     |                  6
 Morphine Sulfate (Concentrated Oral Soln)                           |                  6
 Modafinil                                                           |                  6
 Mexiletine                                                          |                  6
 MethylPREDNISolone Na Suc                                           |                  6
 Methylnaltrexone                                                    |                  6
 Mannitol 20%                                                        |                  6
 LaMIVudine-Zidovudine (Combivir)                                    |                  6
 Lacosamide                                                          |                  6
 Ibuprofen Suspension                                                |                  6
 Hydrocodone-Acetaminophen (5mg-500mg                                |                  6
 Heparin Flush (5000 Units/mL)                                       |                  6
 Heparin (IABP)                                                      |                  6
 GammaGARD Liquid                                                    |                  6
 Fluticasone-Salmeterol (100/50)                                     |                  6
 Fluocinonide 0.05% Cream                                            |                  6
 Estradiol                                                           |                  6
 Divalproex Sodium                                                   |                  6
 Dipyridamole                                                        |                  6
 CycloSPORINE (Sandimmune)                                           |                  6
 Clonidine Patch 0.3 mg/24 hr                                        |                  6
 Chlordiazepoxide HCl                                                |                  6
 Carbidopa-Levodopa CR (25-100)                                      |                  6
 Carbamazepine (Extended-Release)                                    |                  6
 Betamethasone Dipro 0.05% Cream                                     |                  6
 Arimidex                                                            |                  6
 Argatroban                                                          |                  6
 Amitriptyline HCl                                                   |                  6
 Alendronate Sodium                                                  |                  6
 albuterol sulfate                                                   |                  6
 Theophylline SR                                                     |                  5
 Terbinafine 1% Cream                                                |                  5
 Syringe (Sterile Water)                                             |                  5
 Succinylcholine                                                     |                  5
 Ropivacaine 0.2%                                                    |                  5
 Quetiapine extended-release                                         |                  5
 PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7)              |                  5
 Oseltamivir Phosphate                                               |                  5
 Nystatin-Triamcinolone Cream                                        |                  5
 NiCARdipine                                                         |                  5
 Mycophenolate Mofetil Suspension                                    |                  5
 modafinil                                                           |                  5
 Mineral Oil                                                         |                  5
 Methyldopa                                                          |                  5
 MEMAntine                                                           |                  5
 MedroxyPROGESTERone Acetate                                         |                  5
 Lithium Carbonate CR (Eskalith)                                     |                  5
 Lidocaine 2% P.f.                                                   |                  5
 LeVETiracetam Oral Solution                                         |                  5
 Letrozole                                                           |                  5
 Ledipasvir/Sofosbuvir                                               |                  5
 INV-GO-203-2c                                                       |                  5
 Imipenem-Cilastatin                                                 |                  5
 Heparin (CRRT Machine Priming)                                      |                  5
 Gelclair                                                            |                  5
 Fondaparinux Sodium                                                 |                  5
 Fluocinonide 0.05% Ointment                                         |                  5
 Ferrous Sulfate (Liquid)                                            |                  5
 Exemestane                                                          |                  5
 Diclofenac Sodium DR                                                |                  5
 Desipramine                                                         |                  5
 Cyclosporine 0.05% Ophth Emulsion                                   |                  5
 CycloPHOSPHAMIDE                                                    |                  5
 Cyclophosphamide                                                    |                  5
 Creon 10                                                            |                  5
 Clobazam                                                            |                  5
 Celecoxib                                                           |                  5
 Betamethasone Sodium Phos/Acet                                      |                  5
 Aspirin (Buffered)                                                  |                  5
 anastrozole                                                         |                  5
 Amphetamine-Dextroamphetamine XR                                    |                  5
 Aminocaproic Acid                                                   |                  5
 Amiloride HCl                                                       |                  5
 Alprostadil                                                         |                  5
 Advair Diskus                                                       |                  5
 0.9% Sodium Chloride P.F. (Syringe)                                 |                  5
 Xopenex                                                             |                  4
 TRIAzolam                                                           |                  4
 Tretinoin (ATRA-All Transretinoic Acid)                             |                  4
 Syringe (NS)                                                        |                  4
 SulfaSALAzine DR                                                    |                  4
 Sofosbuvir                                                          |                  4
 Rocuronium                                                          |                  4
 Ranexa                                                              |                  4
 Probenecid                                                          |                  4
 Prismasate (B22 K4)                                                 |                  4
 PrednisoLONE Acetate 0.12% Ophth. Susp.                             |                  4
 Polymyxin B Sulfate                                                 |                  4
 Plasma-Lyte A (pH 7.4)                                              |                  4
 Pilocarpine 1%                                                      |                  4
 Phenelzine Sulfate                                                  |                  4
 Penicillin V Potassium                                              |                  4
 OXALIplatin Desensitization                                         |                  4
 Opium Tincture                                                      |                  4
 Nystatin Ointment                                                   |                  4
 Nystatin-Triamcinolone Ointment                                     |                  4
 NS Epidural Bag (0.9% NaCl)                                         |                  4
 Neomycin Sulfate                                                    |                  4
 Morphine Sulfate (Oral Solution) 2 mg/mL                            |                  4
 Metoprolol XL (Toprol XL)                                           |                  4
 Methylphenidate SR                                                  |                  4
 Methylergonovine Maleate                                            |                  4
 Methotrexate Sodium                                                 |                  4
 LevoFLOXacin                                                        |                  4
 LaMICtal XR                                                         |                  4
 L-Carnitine                                                         |                  4
 Ketoconazole                                                        |                  4
 irbesartan                                                          |                  4
 Ifosfamide                                                          |                  4
 Hydrocortisone Cream 0.5%                                           |                  4
 Hydrocortisone Acetate Suppository                                  |                  4
 GuaiFENesin-Dextromethorphan                                        |                  4
 Glycerin Supps                                                      |                  4
 Fondaparinux                                                        |                  4
 Fluorometholone 0.1% Ophth Susp.                                    |                  4
 Fludarabine Phosphate                                               |                  4
 Everolimus                                                          |                  4
 Ethambutol HCl                                                      |                  4
 Emtricitabine                                                       |                  4
 Dextroamphetamine                                                   |                  4
 Cyclopentolate 1%                                                   |                  4
 Cromolyn Sodium                                                     |                  4
 cilostazol                                                          |                  4
 Chlorothiazide Sodium                                               |                  4
 Carbidopa-Levodopa CR (50-200)                                      |                  4
 Carbamazepine XR                                                    |                  4
 Calcipotriene 0.005% Cream                                          |                  4
 Buprenorphine-Naloxone Tablet (8mg-2mg)                             |                  4
 Buprenorphine                                                       |                  4
 Bismuth Subsalicylate Chewable                                      |                  4
 Bicitra                                                             |                  4
 Betamethasone Valerate 0.1% Cream                                   |                  4
 Benzocaine 20% Spray                                                |                  4
 Bengay                                                              |                  4
 Bacitracin/Polymyxin B Sulfate Opht. Oint                           |                  4
 Avapro                                                              |                  4
 0.9% Sodium Chloride (EXCEL BAG)                                    |                  4
 Zidovudine                                                          |                  3
 Vitamin B Complex w/C                                               |                  3
 Vitamin A                                                           |                  3
 Viokase-8                                                           |                  3
 Vecuronium Bromide                                                  |                  3
 ValGANCIclovir Oral Solution                                        |                  3
 Tucks Hemorrhoidal Oint 1%                                          |                  3
 Trihexyphenidyl                                                     |                  3
 Trifluoperazine HCl                                                 |                  3
 Tretinoin 0.025% Cream                                              |                  3
 Treprostinil Sodium                                                 |                  3
 Ticlopidine HCl                                                     |                  3
 TiCLOPIDINE                                                         |                  3
 Thiothixene                                                         |                  3
 Sulfamethoxazole-Trimethoprim                                       |                  3
 Sodium Fluoride (Dental Gel)                                        |                  3
 Sodium Acetate                                                      |                  3
 Selegiline HCl                                                      |                  3
 Salsalate                                                           |                  3
 Sacubitril-Valsartan (24mg-26mg)                                    |                  3
 rivastigmine                                                        |                  3
 Repaglinide                                                         |                  3
 Rasburicase                                                         |                  3
 ranolazine                                                          |                  3
 raloxifene                                                          |                  3
 Pseudoephedrine                                                     |                  3
 Propylthiouracil                                                    |                  3
 Prazosin HCl                                                        |                  3
 Posaconazole                                                        |                  3
 Pilocarpine 4%                                                      |                  3
 Pilocarpine 2%                                                      |                  3
 Phenytoin Sodium (IV)                                               |                  3
 Phenaseptic Throat Spray                                            |                  3
 Pamidronate                                                         |                  3
 PALIperidone ER                                                     |                  3
 olmesartan                                                          |                  3
 NS (Irrigation Bottle)                                              |                  3
 NORepinephrine (in NS)                                              |                  3
 Nevirapine                                                          |                  3
 Neomycin/Polymyxin B Sulfate                                        |                  3
 Nabumetone                                                          |                  3
 Myfortic                                                            |                  3
 Morphine                                                            |                  3
 Miralax                                                             |                  3
 MetronidAZOLE Topical 1 % Gel                                       |                  3
 Methotrexate Sodium P.F.                                            |                  3
 Methazolamide                                                       |                  3
 Methadone (Concentrated Oral Solution) 10 mg/1 mL                   |                  3
 Mercaptopurine                                                      |                  3
 lurasidone                                                          |                  3
 Levocarnitine                                                       |                  3
 Levobunolol 0.5%                                                    |                  3
 Levetiracetam                                                       |                  3
 Levemir                                                             |                  3
 Leuprolide Acetate                                                  |                  3
 Leflunomide                                                         |                  3
 leflunomide                                                         |                  3
 Ketoconazole Shampoo                                                |                  3
 Keppra                                                              |                  3
 Ivermectin                                                          |                  3
 Iron Polysaccharides Complex                                        |                  3
 Irbesartan                                                          |                  3
 INV-Hydrocortisone                                                  |                  3
 Insulin Syringe U-500                                               |                  3
 Hyoscyamine SO4 (Time Release)                                      |                  3
 Hydrocortisone Oint 2.5%                                            |                  3
 Hydrocortisone Enema                                                |                  3
 Heparin Flush Port (10 units/mL)                                    |                  3
 Heparin Flush PICC (100 units/ml)                                   |                  3
 Heparin (Impella)                                                   |                  3
 Glutamine                                                           |                  3
 glimepiride                                                         |                  3
 galantamine                                                         |                  3
 Fluorouracil                                                        |                  3
 Fentanyl                                                            |                  3
 Etomidate                                                           |                  3
 EpiPen                                                              |                  3
 ENTAcapone                                                          |                  3
 Donnatal                                                            |                  3
 Docusate                                                            |                  3
 Docusate                                                            |                  3
 DiCLOXacillin                                                       |                  3
 Dexamethasone Ophthalmic Soln 0.1%                                  |                  3
 Desmopressin Nasal                                                  |                  3
 Decitabine                                                          |                  3
 Cyproheptadine                                                      |                  3
 Comtan                                                              |                  3
 Ciprofloxacin 0.3% Ophth Soln                                       |                  3
 Cimetidine                                                          |                  3
 Cetuximab                                                           |                  3
 Celebrex                                                            |                  3
 CARBOplatin Desensitization                                         |                  3
 Carbidopa-Levodopa (10-100)                                         |                  3
 Calcium Carbonate Suspension                                        |                  3
 Buprenorphine-Naloxone Film (8mg-2mg)                               |                  3
 Bumetanide Desensitization                                          |                  3
 Bottle                                                              |                  3
 Bengay Cream                                                        |                  3
 Belladonna & Opium (16.2/30mg)                                      |                  3
 Atropine Sulfate Ophth 1%                                           |                  3
 Atacand                                                             |                  3
 Aprepitant                                                          |                  3
 Amino Acids 5%-Dextrose 15%                                         |                  3
 aMILoride                                                           |                  3
 Ambisome                                                            |                  3
 Albuterol 0.5%                                                      |                  3
 Albumin 5%                                                          |                  3
 Adenosine                                                           |                  3
 Adderall XR                                                         |                  3
 6 Syringes (NS)                                                     |                  3
 23.4% Sodium Chloride                                               |                  3
 Zyrtec                                                              |                  2
 Witch Hazel 50% Pad                                                 |                  2
 Vigamox                                                             |                  2
 VIal (Sterile Water)                                                |                  2
 venetoclax                                                          |                  2
 vancomycin                                                          |                  2
 VALTREX                                                             |                  2
 Triamterene                                                         |                  2
 Tretinoin (ATRA, All-Transretinoic Acid)                            |                  2
 Travoprost                                                          |                  2
 Tranylcypromine Sulfate                                             |                  2
 Trandolapril                                                        |                  2
 Tobramycin Sulfate                                                  |                  2
 Tobramycin Inhalation Soln                                          |                  2
 Tobramycin 0.3% Ophth Soln                                          |                  2
 Tobramycin-Dexamethasone Ophth Oint                                 |                  2
 Tizanidine HCl                                                      |                  2
 Tigecycline                                                         |                  2
 Thrombin                                                            |                  2
 Tetracaine 0.5% Ophth Soln                                          |                  2
 Tetanus-Diphtheria Tox (DECAVAC)                                    |                  2
 Testosterone 5mg Patch                                              |                  2
 Testosterone 2 mg Patch                                             |                  2
 Tecfidera                                                           |                  2
 Tacrolimus Suspension                                               |                  2
 tacrolimus                                                          |                  2
 Syringe (Intraperitoneal)                                           |                  2
(1000 rows)

